0,1,2,3,4,5,6,7,8,9
0.98239464,8.940697e-08,7.390976e-06,1.0341406e-05,5.403161e-05,0.0007351637,0.0016426444,3.5375357e-05,0.00069978833,0.0060013533
0.9403445,5.364418e-07,3.5852194e-05,3.9428473e-05,3.2782555e-07,0.0006606579,0.0006352961,0.003217101,9.4771385e-06,0.0059008896
2.002716e-05,1.6450882e-05,0.0018873811,0.00028419495,0.9644898,0.9999819,0.0025404394,0.00010469556,0.00092858076,3.093481e-05
5.9604645e-08,0.00010842085,1.4901161e-07,0.99995065,3.0100346e-06,0.0012855828,0.93051165,0.0,5.7429075e-05,2.0861626e-07
1.2040138e-05,5.9604645e-07,2.2053719e-06,0.9999814,0.0,0.00059857965,0.0011533499,0.0,0.00039073825,1.5795231e-06
0.9745451,0.0,3.1888485e-06,8.940697e-08,2.3841858e-07,1.9222498e-05,6.2167645e-05,0.0055194497,8.34465e-07,0.0019266307
0.025155693,1.4901161e-07,7.0631504e-06,1.2367964e-05,2.592802e-06,0.0009037256,0.00885877,5.3942204e-06,0.9279375,0.0041543543
0.0,5.9604645e-08,5.3048134e-06,0.9999975,0.98564863,5.942583e-05,0.00027939677,0.0,1.090765e-05,0.0
1.2487173e-05,2.9206276e-06,0.00011125207,0.25090033,3.7550926e-06,0.00021609664,0.0010242462,6.7442656e-05,0.9984296,6.5892935e-05
0.0007325709,2.8401613e-05,7.122755e-06,1.0848045e-05,8.672476e-06,0.014814436,0.98098713,0.00035506487,0.0060105324,0.00082978606
0.0008794069,3.0398369e-06,0.52324533,8.264184e-05,1.9788742e-05,0.00022682548,0.0023967922,0.00023901463,0.97204876,0.003917843
0.00810492,0.0,3.9458275e-05,1.7881393e-07,3.5762787e-07,6.9737434e-05,0.00027626753,5.2452087e-06,0.9969208,1.5974045e-05
6.854534e-07,0.7503362,0.0009278357,0.99876857,1.4990568e-05,0.00093171,0.0035565495,8.940697e-08,0.760328,0.00033473969
2.5898218e-05,0.9821882,7.805228e-05,5.310774e-05,1.1652708e-05,0.00051775575,0.00025829673,3.874302e-07,0.0047982037,0.19049346
0.404517,0.0,0.0001346767,1.7881393e-06,1.0728836e-06,0.000448972,0.0016439259,0.00016269088,0.78091466,0.0005605519
0.004951477,0.11856955,0.0015952885,0.00030195713,0.000500232,0.009055316,0.5767331,0.00036132336,0.31249177,0.06009078
1.0728836e-06,1.7881393e-07,1.4871359e-05,0.9999837,5.1170588e-05,0.00023725629,0.0009834468,2.9802322e-08,0.11553669,4.7683716e-07
0.9954697,5.9604645e-08,6.8843365e-06,8.34465e-07,4.7683716e-07,0.00035727024,0.0010764301,2.1755695e-06,3.1381845e-05,0.0070043206
1.7881393e-07,0.0006260276,0.65350527,0.006156951,0.008728415,0.009383917,0.83247596,0.0007212162,0.56009406,0.0007338524
1.3291836e-05,1.92523e-05,1.4007092e-06,0.0048103034,2.413988e-06,0.0006944835,0.7226526,0.0026811957,0.841457,0.0034970343
0.98678786,0.0,2.6136637e-05,1.1026859e-06,1.937151e-06,0.00030392408,0.00039979815,0.00032183528,2.798438e-05,0.0010476112
0.05529198,1.4901161e-07,0.95346284,0.0018097758,3.5464764e-05,0.0001911223,0.001730293,0.000603497,0.000330925,0.00058567524
